,age,status,sex,orientation,body_type,diet,drinks,drugs,education,ethnicity,height,income,job,last_online,location,offspring,pets,religion,sign,smokes,speaks
0,22,single,m,straight,a little extra,strictly anything,socially,never,working on college/university,"asian, white",75.0,-1,transportation,2012-06-28-20-30,"south san francisco, california","doesn't have kids, but might want them",likes dogs and likes cats,agnosticism and very serious about it,gemini,sometimes,english
1,35,single,m,straight,average,mostly other,often,sometimes,working on space camp,white,70.0,80000,hospitality / travel,2012-06-29-21-41,"oakland, california","doesn't have kids, but might want them",likes dogs and likes cats,agnosticism but not too serious about it,cancer,no,"english (fluently), spanish (poorly), french (poorly)"
2,38,available,m,straight,thin,anything,socially,,graduated from masters program,,68.0,-1,,2012-06-27-09-10,"san francisco, california",,has cats,,pisces but it doesn&rsquo;t matter,no,"english, french, c++"
3,23,single,m,straight,thin,vegetarian,socially,,working on college/university,white,71.0,20000,student,2012-06-28-14-22,"berkeley, california",doesn't want kids,likes cats,,pisces,no,"english, german (poorly)"
4,29,single,m,straight,athletic,,socially,never,graduated from college/university,"asian, black, other",66.0,-1,artistic / musical / writer,2012-06-27-21-26,"san francisco, california",,likes dogs and likes cats,,aquarius,no,english
5,29,single,m,straight,average,mostly anything,socially,,graduated from college/university,white,67.0,-1,computer / hardware / software,2012-06-29-19-18,"san francisco, california","doesn't have kids, but might want them",likes cats,atheism,taurus,no,"english (fluently), chinese (okay)"
6,32,single,f,straight,fit,strictly anything,socially,never,graduated from college/university,"white, other",65.0,-1,,2012-06-25-20-45,"san francisco, california",,likes dogs and likes cats,,virgo,,english
7,31,single,f,straight,average,mostly anything,socially,never,graduated from college/university,white,65.0,-1,artistic / musical / writer,2012-06-29-12-30,"san francisco, california","doesn't have kids, but wants them",likes dogs and likes cats,christianity,sagittarius,no,"english, spanish (okay)"
8,24,single,f,straight,,strictly anything,socially,,graduated from college/university,white,67.0,-1,,2012-06-29-23-39,"belvedere tiburon, california",doesn't have kids,likes dogs and likes cats,christianity but not too serious about it,gemini but it doesn&rsquo;t matter,when drinking,english
9,37,single,m,straight,athletic,mostly anything,not at all,never,working on two-year college,white,65.0,-1,student,2012-06-28-21-08,"san mateo, california",,likes dogs and likes cats,atheism and laughing about it,cancer but it doesn&rsquo;t matter,no,english (fluently)
10,35,available,m,straight,average,mostly anything,socially,,,white,70.0,-1,,2012-06-04-14-59,"san francisco, california",,,,taurus,yes,english
11,28,seeing someone,m,straight,average,mostly anything,socially,never,graduated from college/university,white,72.0,40000,banking / financial / real estate,2012-05-22-17-05,"daly city, california",,likes cats,christianity and very serious about it,leo but it doesn&rsquo;t matter,no,"english (fluently), sign language (poorly)"
