CMPLNT_FR_DT,OFNS_DESC,BORO_NM,LAW_CAT_CD,Latitude,Longitude
03/24/2025, ASSAULT,BRONX,MISDEMEANOR,40.591219,-73.875608
02/13/2024, ASSAULT,BRONX,MISDEMEANOR,40.838128,-73.979811
11/10/2022, ASSAULT,BRONX,MISDEMEANOR,40.72526,-74.205477
11/02/2023, ASSAULT,BRONX,FELONY,40.858176,-73.746147
08/23/2022, ASSAULT,BRONX,MISDEMEANOR,40.635832,-73.869468
02/03/2023, ASSAULT,BRONX,FELONY,40.880957,-73.796872
08/28/2022, ASSAULT,BRONX,FELONY,40.530749,-73.936804
02/06/2023, ASSAULT,BRONX,MISDEMEANOR,40.598839,-73.745957
10/25/2023, BURGLARY,BRONX,MISDEMEANOR,40.79485,-74.108729
08/03/2024, BURGLARY,BRONX,FELONY,40.836365,-73.91957
05/27/2025, BURGLARY,BRONX,MISDEMEANOR,40.61313,-73.811135
04/14/2024, BURGLARY,BRONX,FELONY,40.817787,-74.19971
06/27/2024, BURGLARY,BRONX,FELONY,40.546052,-73.855308
01/04/2023, BURGLARY,BRONX,FELONY,40.777511,-74.226553
10/06/2024, BURGLARY,BRONX,MISDEMEANOR,40.537565,-74.204989
01/27/2025, BURGLARY,BRONX,FELONY,40.575445,-74.010638
05/27/2025, BURGLARY,BRONX,MISDEMEANOR,40.608714,-74.094222
04/23/2024, BURGLARY,BRONX,FELONY,40.692847,-73.79816
01/19/2025, BURGLARY,BRONX,MISDEMEANOR,40.527257,-74.187902
04/21/2025, DRUG POSSESSION,BRONX,MISDEMEANOR,40.564699,-73.8767
06/01/2023, FRAUD,BRONX,MISDEMEANOR,40.551007,-73.897465
10/24/2024, FRAUD,BRONX,MISDEMEANOR,40.664053,-73.928757
12/20/2022, FRAUD,BRONX,MISDEMEANOR,40.532299,-73.971401
04/23/2024, FRAUD,BRONX,FELONY,40.787889,-73.922015
10/24/2023, FRAUD,BRONX,FELONY,40.631084,-73.760939
09/09/2022, GRAND LARCENY,BRONX,FELONY,40.869884,-74.195199
09/27/2024, GRAND LARCENY,BRONX,MISDEMEANOR,40.605896,-74.027713
08/20/2024, GRAND LARCENY,BRONX,FELONY,40.509289,-73.989153
01/15/2024, GRAND LARCENY,BRONX,MISDEMEANOR,40.719279,-74.136782
06/07/2025, GRAND LARCENY,BRONX,FELONY,40.762453,-74.026328
08/30/2022, GRAND LARCENY,BRONX,VIOLATION,40.546491,-73.733623
10/10/2022, PETIT LARCENY,BRONX,MISDEMEANOR,40.621622,-73.800161
07/05/2025, PETIT LARCENY,BRONX,FELONY,40.827934,-74.067499
05/07/2024, PETIT LARCENY,BRONX,MISDEMEANOR,40.556011,-74.153554
11/15/2022, PETIT LARCENY,BRONX,MISDEMEANOR,40.632833,-73.881144
05/02/2023, PETIT LARCENY,BRONX,VIOLATION,40.799815,-73.728071
06/20/2024, PETIT LARCENY,BRONX,FELONY,40.838294,-73.768159
04/28/2024, PETIT LARCENY,BRONX,MISDEMEANOR,40.809715,-73.836698
02/22/2023, PETIT LARCENY,BRONX,FELONY,40.51825,-73.870518
04/24/2024, PETIT LARCENY,BRONX,MISDEMEANOR,40.508804,-73.779965
07/15/2024, ROBBERY,BRONX,FELONY,40.70688,-73.901655
05/08/2024, ROBBERY,BRONX,FELONY,40.748814,-73.743776
09/01/2022, ROBBERY,BRONX,MISDEMEANOR,40.500559,-73.940905
12/18/2023, ROBBERY,BRONX,MISDEMEANOR,40.585522,-74.216517
12/26/2023, VANDALISM,BRONX,FELONY,40.769395,-73.83782
08/08/2022, VANDALISM,BRONX,FELONY,40.750121,-73.876646
04/25/2024, VANDALISM,BRONX,MISDEMEANOR,40.594977,-73.899611
07/10/2024, VANDALISM,BRONX,MISDEMEANOR,40.884698,-73.719996
04/20/2024, VANDALISM,BRONX,MISDEMEANOR,40.627,-73.812177
08/12/2023, VANDALISM,BRONX,FELONY,40.823587,-73.965987
07/10/2025, VANDALISM,BRONX,MISDEMEANOR,40.641169,-74.168928
09/25/2024, VEHICLE THEFT,BRONX,FELONY,40.676351,-74.091713
12/03/2022, VEHICLE THEFT,BRONX,MISDEMEANOR,40.727579,-73.965343
04/06/2025, VEHICLE THEFT,BRONX,MISDEMEANOR,40.780613,-74.214688
12/16/2023, VEHICLE THEFT,BRONX,MISDEMEANOR,40.889596,-73.704917
02/05/2025, VEHICLE THEFT,BRONX,FELONY,40.658741,-74.078668
01/25/2023, VEHICLE THEFT,BRONX,MISDEMEANOR,40.794697,-73.896384
08/26/2022, VEHICLE THEFT,BRONX,MISDEMEANOR,40.55817,-73.804622
07/18/2023, VEHICLE THEFT,BRONX,FELONY,40.791539,-73.95284
05/27/2023,ASSAULT,BRONX,MISDEMEANOR,40.787253,-73.80612
08/23/2023,ASSAULT,BRONX,MISDEMEANOR,40.866755,-73.770106
07/16/2023,ASSAULT,BRONX,MISDEMEANOR,40.878271,-73.807585
12/05/2022,ASSAULT1,BRONX,MISDEMEANOR,40.585387,-73.912984
08/23/2023,ASSAULT1,BRONX,MISDEMEANOR,40.794949,-73.949684
03/21/2023,ASSAULT1,BRONX,MISDEMEANOR,40.505387,-73.738334
05/27/2025,ASSAULT1,BRONX,MISDEMEANOR,40.640237,-74.196894
03/25/2025,ASSAULT1,BRONX,FELONY,40.676385,-74.220491
06/04/2025,ASSAULT1,BRONX,FELONY,40.527397,-74.033716
09/19/2022,ASSAULT1,BRONX,FELONY,40.575053,-73.977145
09/17/2022,ASSAULT1,BRONX,FELONY,40.879243,-73.82531
02/16/2023,ASSAULT1,BRONX,MISDEMEANOR,40.754862,-74.108178
12/15/2023,ASSAULT1,BRONX,FELONY,40.836255,-74.127135
01/10/2023,ASSAULT1,BRONX,FELONY,40.801558,-73.960984
10/29/2023,ASSAULT1,BRONX,MISDEMEANOR,40.584996,-73.95673
01/16/2023,ASSAULT1,BRONX,MISDEMEANOR,40.77398,-73.930854
04/05/2024,ASSAULT,BRONX,FELONY,40.538961,-74.167657
07/21/2022,ASSAULT,BRONX,MISDEMEANOR,40.663367,-73.941246
05/28/2024,ASSAULT,BRONX,MISDEMEANOR,40.526804,-74.111693
05/29/2023,ASSAULT,BRONX,MISDEMEANOR,40.891781,-73.75944
01/03/2025,ASSAULT,BRONX,FELONY,40.716198,-73.903664
08/15/2024,ASSAULT,BRONX,FELONY,40.871655,-73.883081
04/13/2025,ASSAULT,BRONX,VIOLATION,40.559619,-74.126719
04/25/2025,ASSAULT,BRONX,FELONY,40.51851,-73.720645
02/21/2023,ASSAULT,BRONX,FELONY,40.852139,-74.044356
03/14/2025,ASSAULT,BRONX,FELONY,40.528646,-73.733222
08/09/2023,ASSAULT,BRONX,FELONY,40.584939,-74.154184
11/29/2023,ASSAULT,BRONX,MISDEMEANOR,40.539952,-73.844977
08/20/2023,ASSAULT,BRONX,VIOLATION,40.778322,-73.885643
09/05/2024,ASSAULT,BRONX,VIOLATION,40.828455,-74.027207
11/14/2022,ASSAULT,BRONX,MISDEMEANOR,40.529674,-73.994583
11/20/2023,ASSAULT,BRONX,MISDEMEANOR,40.67701,-73.996801
02/08/2025,ASSAULT,BRONX,MISDEMEANOR,40.778403,-74.043927
04/16/2024,ASSAULT,BRONX,FELONY,40.699672,-74.01515
06/06/2025,ASSAULT,BRONX,FELONY,40.727126,-74.181327
08/22/2022,ASSAULT,BRONX,FELONY,40.702638,-74.123449
01/05/2023,ASSAULT,BRONX,FELONY,40.779339,-74.036426
12/14/2024,ASSAULT,BRONX,FELONY,40.608381,-74.102539
09/15/2024,ASSAULT,BRONX,FELONY,40.757768,-74.208595
08/01/2024,ASSAULT,BRONX,MISDEMEANOR,40.797871,-73.729064
02/08/2024,ASSAULT,BRONX,FELONY,40.870739,-74.014117
12/16/2022,BURGLARY,BRONX,FELONY,40.833538,-74.186175
11/05/2024,BURGLARY,BRONX,FELONY,40.699094,-74.229197
09/14/2022,BURGLARY,BRONX,FELONY,40.666065,-74.164114
07/07/2025,BURGLARY,BRONX,MISDEMEANOR,40.617891,-73.793404
12/01/2023,BURGLARY,BRONX,MISDEMEANOR,40.592945,-73.830903
04/05/2023,BURGLARY,BRONX,FELONY,40.520461,-74.099823
03/17/2023,BURGLARY_dev,BRONX,MISDEMEANOR,40.721567,-74.156922
08/10/2024,BURGLARY_dev,BRONX,MISDEMEANOR,40.604707,-74.162924
08/07/2022,BURGLARY_dev,BRONX,MISDEMEANOR,40.849882,-74.061325
03/17/2025,BURGLARY_dev,BRONX,FELONY,40.500598,-73.756904
11/24/2022,BURGLARY_dev,BRONX,MISDEMEANOR,40.563832,-74.190779
07/10/2025,BURGLARY_dev,BRONX,FELONY,40.674084,-73.909549
06/03/2025,BURGLARY_dev,BRONX,FELONY,40.878856,-73.933664
11/02/2023,BURGLARY_dev,BRONX,FELONY,40.78538,-73.941402
04/14/2024,BURGLARY_dev,BRONX,FELONY,40.862575,-74.126258
07/02/2025,BURGLARY_dev,BRONX,FELONY,40.794581,-73.809922
01/12/2023,BURGLARY_dev,BRONX,MISDEMEANOR,40.872846,-73.933354
04/15/2024,BURGLARY_dev,BRONX,VIOLATION,40.857651,-74.056667
10/05/2022,BURGLARY_dev,BRONX,FELONY,40.690653,-73.93804
